 mode no    eigenvalue   Sum(1/eigenvalue)
         394   5.1039042       64.667740    
         395   5.1013331       64.863770    
         396   5.0980577       65.059921    
         397   5.0928440       65.256279    
         398   5.0904942       65.452721    
         399   5.0838504       65.649422    
         400   5.0817633       65.846207    
         401   5.0777526       66.043144    
         402   5.0763235       66.240135    
         403   5.0712523       66.437325    
         404   5.0647702       66.634766    
         405   5.0617867       66.832321    
         406   5.0593362       67.029976    
         407   5.0557356       67.227768    
         408   5.0538325       67.425636    
         409   5.0483122       67.623726    
         410   5.0468373       67.821869    
         411   5.0441399       68.020119    
         412   5.0426641       68.218430    
         413   5.0394320       68.416862    
         414   5.0375061       68.615372    
         415   5.0345430       68.814003    
         416   5.0339160       69.012657    
         417   5.0310264       69.211426    
         418   5.0286002       69.410286    
         419   5.0250721       69.609291    
         420   5.0218601       69.808418    
         421   5.0210776       70.007576    
         422   5.0171256       70.206894    
         423   5.0126271       70.406387    
         424   5.0093312       70.606018    
         425   5.0079093       70.805702    
         426   5.0050077       71.005501    
         427   4.9979353       71.205582    
         428   4.9961333       71.405739    
         429   4.9919991       71.606056    
         430   4.9883118       71.806526    
         431   4.9872718       72.007034    
         432   4.9862013       72.207588    
         433   4.9817295       72.408325    
         434   4.9793115       72.609154    
         435   4.9717722       72.810287    
         436   4.9689174       73.011536    
         437   4.9676967       73.212837    
         438   4.9659057       73.414207    
         439   4.9655561       73.615593    
         440   4.9588675       73.817253    
         441   4.9574475       74.018967    
         442   4.9565153       74.220718    
         443   4.9527473       74.422630    
         444   4.9486103       74.624710    
         445   4.9437819       74.826981    
         446   4.9398251       75.029419    
         447   4.9387856       75.231895    
         448   4.9337087       75.434586    
         449   4.9281487       75.637505    
         450   4.9262996       75.840500    
         451   4.9258890       76.043510    
         452   4.9224029       76.246666    
         453   4.9198885       76.449921    
         454   4.9171491       76.653290    
         455   4.9132285       76.856819    
         456   4.9113851       77.060425    
         457   4.9088902       77.264137    
         458   4.9057117       77.467979    
         459   4.9037051       77.671906    
         460   4.9015317       77.875923    
         461   4.8971786       78.080124    
         462   4.8935475       78.284477    
         463   4.8902688       78.488968    
         464   4.8883514       78.693535    
         465   4.8872800       78.898148    
         466   4.8827367       79.102951    
         467   4.8776770       79.307968    
         468   4.8748288       79.513107    
         469   4.8734379       79.718300    
         470   4.8700633       79.923637    
         471   4.8640866       80.129227    
         472   4.8597612       80.334999    
         473   4.8559132       80.540932    
         474   4.8536491       80.746964    
         475   4.8512530       80.953094    
         476   4.8463049       81.159439    
         477   4.8406544       81.366020    
         478   4.8358335       81.572807    
         479   4.8330932       81.779716    
         480   4.8310127       81.986710    
         481   4.8274231       82.193863    
         482   4.8256330       82.401093    
         483   4.8237824       82.608398    
         484   4.8218298       82.815788    
         485   4.8198152       83.023262    
         486   4.8159227       83.230904    
         487   4.8145361       83.438606    
         488   4.8127222       83.646385    
         489   4.8087592       83.854340    
         490   4.8063092       84.062401    
         491   4.8035512       84.270576    
         492   4.7983866       84.478981    
         493   4.7968354       84.687454    
         494   4.7947812       84.896011    
         495   4.7914929       85.104713    
         496   4.7890062       85.313522    
         497   4.7829771       85.522598    
         498   4.7811780       85.731750    
         499   4.7783356       85.941025    
         500   4.7735338       86.150513    
         501   4.7720146       86.360069    
         502   4.7688751       86.569763    
         503   4.7643051       86.779655    
         504   4.7591619       86.989777    
         505   4.7570333       87.199989    
         506   4.7538290       87.410347    
         507   4.7502890       87.620857    
         508   4.7469702       87.831520    
         509   4.7392759       88.042526    
         510   4.7373590       88.253616    
         511   4.7331958       88.464890    
         512   4.7301149       88.676300    
         513   4.7292819       88.887749    
         514   4.7282548       89.099243    
         515   4.7254772       89.310860    
         516   4.7225471       89.522614    
         517   4.7192793       89.734512    
         518   4.7164116       89.946541    
         519   4.7118340       90.158775    
         520   4.7086067       90.371155    
         521   4.7070270       90.583603    
         522   4.7049723       90.796143    
         523   4.7036428       91.008743    
         524   4.6993470       91.221542    
         525   4.6976318       91.434418    
         526   4.6930199       91.647499    
         527   4.6899261       91.860725    
         528   4.6885347       92.074013    
         529   4.6813521       92.287628    
         530   4.6801844       92.501297    
         531   4.6783891       92.715042    
         532   4.6740403       92.928993    
         533   4.6731453       93.142982    
         534   4.6695461       93.357140    
         535   4.6681199       93.571358    
         536   4.6659741       93.785675    
         537   4.6639562       94.000084    
         538   4.6609092       94.214638    
         539   4.6597166       94.429245    
         540   4.6543298       94.644096    
         541   4.6512518       94.859093    
         542   4.6482453       95.074226    
         543   4.6465526       95.289436    
         544   4.6424117       95.504845    
         545   4.6409321       95.720322    
         546   4.6374259       95.935959    
